,question,contexts,ground_truth,evolution_type,metadata,episode_done
10,What significance does Donald Trump attribute to receiving 75 million votes in the context of the 2020 election?,"[""DAVID MUIR: Are you now acknowledging that you lost in 2020?\n\nFORMER PRESIDENT DONALD TRUMP: No, I don't acknowledge that at all.\n\nDAVID MUIR: But you did say that.\n\nFORMER PRESIDENT DONALD TRUMP: I said that sarcastically. You know that. It was said, oh we lost by a whisker. That was said sarcastically. Look, there's so much proof. All you have to do is look at it. And they should have sent it back to the legislatures for approval. I got almost 75 million votes. The most votes any sitting president has ever gotten. I was told if I got 63, which was what I got in 2016, you can't be beaten. The election, people should never be thinking about an election as fraudulent. We need two things. We need walls. We need -- and we have to have it. We have to have borders. And we have to have good elections.""]","Donald Trump attributes significance to receiving 75 million votes by stating it is the most votes any sitting president has ever gotten, implying that such a high number of votes should negate any thoughts of the election being fraudulent.",simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
11,What is Vice President Harris's current stance on Obamacare?,"[""VICE PRESIDENT HARRIS: The former president has said something twice and I need to respond too. I just need to respond one time to what he has said multiple times.\n\nLINSEY DAVIS: I'm sorry, we're going to move on, Vice President Harris. This is now your third time running for president. you have long vowed to repeal and replace the Affordable Care Act, also known as Obamacare. You have failed to accomplish that. You now say you're going to keep Obamacare. Quote, unless we can do something much better. Last month you said, quote, we're working on it. So tonight, nine years after you first started running, do you have a plan and can you tell us what it is?""]","Vice President Harris's current stance on Obamacare is that she intends to keep it, stating, 'unless we can do something much better.'",simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
12,What impact did the decisions related to Roe v. Wade have on abortion laws in various states?,"[""VICE PRESIDENT KAMALA HARRIS: Well, as I said, you're going to hear a bunch of lies. And that's not actually a surprising fact. Let's understand how we got here. Donald Trump hand-selected three members of the United States Supreme Court with the intention that they would undo the protections of Roe v. Wade. And they did exactly as he intended. And now in over 20 states there are Trump abortion bans which make it criminal for a doctor or nurse to provide health care. In one state it provides prison for life. Trump abortion bans that make no exception even for rape and incest. Which understand what that means. A survivor of a crime, a violation to their body, does not have the right to make a decision about what happens to their body next. That is immoral. And one does not have to abandon their faith or deeply held beliefs to agree the government, and Donald Trump certainly, should not be telling a woman what to do with her body.""]","The decisions related to Roe v. Wade have led to the implementation of Trump abortion bans in over 20 states, which criminalize the provision of health care by doctors or nurses. In some states, these bans impose severe penalties, including life imprisonment, and make no exceptions for cases of rape and incest, denying survivors the right to make decisions about their own bodies.",simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
13,What impact has Medicare drug negotiation had on the Affordable Care Act?,"[""I will never forget the early morning hours when it was up for a vote in the United States Senate and the late great John McCain, who you have disparaged as being – uh, you don't like him, you said at the time because he got caught, he was an American hero. The late great John McCain, I will never forget that night. Walked onto the Senate floor and said no, you don't. No, you don't. No, you don't get rid of the Affordable Care Act. You have no plan. And what the Affordable Care Act has done is eliminate the ability of insurance companies to deny people with pre-existing conditions. I don't have to tell the people watching tonight, you remember what that was like? Remember when an insurance company could deny if a child had asthma, if someone was a breast cancer survivor, if a grandparent had diabetes? And thankfully, as I've been vice president and we over the last four years have strengthened the Affordable Care Act, we have allowed for the first time Medicare to negotiate drug""]",The answer to given question is not present in context,simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
14,What does former President Donald Trump imply about the accuracy of the reported numbers regarding casualties in the war?,"[""FORMER PRESIDENT DONALD TRUMP: I want the war to stop. I want to save lives that are being uselessly -- people being killed by the millions. It's the millions. It's so much worse than the numbers that you're getting, which are fake numbers. Look, we're in for 250 billion or more because they don't ask Europe, which is a much bigger beneficiary to getting this thing done than we are. They're in for $150 billion less because Biden and you don't have the courage to ask Europe like I did with NATO. They paid billions and billions, hundreds of billions of dollars when I said either you pay up or we're not going to protect you anymore. So that may be one of the reasons they don't like me as much as they like weak people. But you take a look at what's happening. We're in for 250 to 275 billion. They're into 100 to 150. They should be forced to equalize. With that being said, I want to get the war settled. I know Zelenskyy very well and I know Putin very well. I have a good relationship. And""]","Former President Donald Trump implies that the reported numbers regarding casualties in the war are fake and that the actual numbers are much worse, stating that people are being killed by the millions.",simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
15,What does Kamala Harris propose for restoring reproductive rights amid current restrictions?,"[""VICE PRESIDENT KAMALA HARRIS: I absolutely support reinstating the protections of Roe v. Wade. And as you rightly mentioned, nowhere in America is a woman carrying a pregnancy to term and asking for an abortion. That is not happening. It's insulting to the women of America. And understand what has been happening under Donald Trump's abortion bans. Couples who pray and dream of having a family are being denied IVF treatments. What is happening in our country, working people, working women who are working one or two jobs, who can barely afford childcare as it is, have to travel to another state to get on a plane sitting next to strangers, to go and get the health care she needs. Barely can afford to do it. And what you are putting her through is unconscionable. And the people of America have not -- the majority of Americans believe in a woman's right to make decisions about her own body. And that is why in every state where this issue has been on the ballot, in red and blue states both,"", ""VICE PRESIDENT KAMALA HARRIS: I have talked with women around our country. You want to talk about this is what people wanted? Pregnant women who want to carry a pregnancy to term suffering from a miscarriage, being denied care in an emergency room because the health care providers are afraid they might go to jail and she's bleeding out in a car in the parking lot? She didn't want that. Her husband didn't want that. A 12 or 13-year-old survivor of incest being forced to carry a pregnancy to term? They don't want that. And I pledge to you when Congress passes a bill to put back in place the protections of Roe v. Wade as president of the United States, I will proudly sign it into law. But understand, if Donald Trump were to be re-elected, he will sign a national abortion ban. Understand in his Project 2025 there would be a national abortion ban. Understand in his Project 2025 there would be a national abortion -- a monitor that would be monitoring your pregnancies, your miscarriages. I""]",Kamala Harris proposes reinstating the protections of Roe v. Wade and pledges to sign a bill into law that restores these protections when Congress passes it. She emphasizes the importance of a woman's right to make decisions about her own body and highlights the negative impacts of current abortion restrictions on women and families.,multi_context,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}, {'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
16,What's Biden's stance on Ukraine vs. negotiating peace?,"[""LINSEY DAVIS: President Trump...\n\nFORMER PRESIDENT DONALD TRUMP: Gets paid a lot of money --\n\nLINSEY DAVIS: Thank you. We have a lot of issues to get to.\n\nDAVID MUIR: We'll be right back with much more of this historic ABC News presidential debate from the National Constitution Center right here in Philadelphia. Back in a moment.\n\nDAVID MUIR: And I want to turn to the war in Ukraine. We're now 2 1/2 years into this conflict. Mr. President, it has been the position of the Biden administration that we must defend Ukraine from Russia, from Vladimir Putin, to defend their sovereignty, their democracy, that it's in America's best interest to do so, arguing that if Putin wins he may be emboldened to move even further into other countries. You have said you would solve this war in 24 hours. You said so just before the break tonight. How exactly would you do that? And I want to ask you a very simple question tonight. Do you want Ukraine to win this war?"", ""DAVID MUIR: And just to clarify here.\n\nFORMER PRESIDENT DONALD TRUMP: They threw him out of a campaign like a dog. We don't even know, is he our president? But we have a president...\n\nDAVID MUIR: Mr. President,\n\nFORMER PRESIDENT DONALD TRUMP: ...that doesn't know he's alive.\n\nDAVID MUIR: Your time is up. Just to clarify the question, do you believe it's in the U.S. best interests for Ukraine to win this war? Yes or no?\n\nFORMER PRESIDENT DONALD TRUMP: I think it's in the U.S. best interest to get this war finished and just get it done. All right. Negotiate a deal. Because we have to stop all of these human lives from being destroyed.\n\nDAVID MUIR: I want to take this to Vice President Harris. I want to get your thoughts on support for Ukraine in this moment. But also as commander in chief if elected how would you deal with Vladimir Putin and would it be any different from what we're seeing from President Biden?""]",The context does not provide specific details about Biden's stance on Ukraine versus negotiating peace.,multi_context,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}, {'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
17,What effect did military support have on Ukraine's sovereignty in the conflict?,"[""the work that I and others did we brought 50 countries together to support Ukraine in its righteous defense. And because of our support, because of the air defense, the ammunition, the artillery, the javelins, the Abrams tanks that we have provided, Ukraine stands as an independent and free country. If Donald Trump were president, Putin would be sitting in Kyiv right now. And understand what that would mean. Because Putin's agenda is not just about Ukraine. Understand why the European allies and our NATO allies are so thankful that you are no longer president and that we understand the importance of the greatest military alliance the world has ever known, which is NATO. And what we have done to preserve the ability of Zelenskyy and the Ukrainians to fight for their Independence. Otherwise, Putin would be sitting in Kyiv with his eyes on the rest of Europe. Starting with Poland. And why don't you tell the 800,000 Polish Americans right here in Pennsylvania how quickly you would give up"", ""VICE PRESIDENT KAMALA HARRIS: Well, first of all, it's important to remind the former president you're not running against Joe Biden, you're running against me. I believe the reason that Donald Trump says that this war would be over within 24 hours is because he would just give it up. And that's not who we are as Americans. Let's understand what happened here. I actually met with Zelenskyy a few days before Russia invaded, tried through force to change territorial boundaries to defy one of the most important international rules and norms, which is the importance of sovereignty and territorial integrity. And I met with President Zelenskyy. I shared with him American intelligence about how he could defend himself. Days later I went to NATO's eastern flank, to Poland and Romania. And through the work that I and others did we brought 50 countries together to support Ukraine in its righteous defense. And because of our support, because of the air defense, the ammunition, the artillery, the""]","Military support has been crucial in helping Ukraine maintain its sovereignty during the conflict, as it has enabled Ukraine to stand as an independent and free country. The support provided, including air defense, ammunition, artillery, and tanks, has preserved Ukraine's ability to fight for its independence against Russian aggression.",multi_context,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}, {'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
18,What's VP Harris's role in the political talk about Trump?,"['DAVID MUIR: Vice President Harris thank you. Linsey?\n\nLINSEY DAVIS: President Trump, this is now your third time --', 'LINSEY DAVIS: Vice President Harris, thank you. President Trump?']",The answer to given question is not present in context,multi_context,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}, {'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
19,What explains VP Harris's change on fracking and gun control since her last campaign?,"[""DAVID MUIR: Vice President Harris, thank you. Linsey?\n\nLINDSEY DAVIS: Vice President Harris, in your last run for president...\n\nFORMER PRESIDENT DONALD TRUMP: This is the one that weaponized. Not me. She weaponized. I probably took a bullet to the head because of the things that they say about me. They talk about democracy. I'm a threat to democracy. They're the threat to democracy – With the fake Russia Russia Russia investigation that went nowhere.\n\nDAVID MUIR: We have a lot to get to. Linsey?\n\nLINSEY DAVIS: Vice President Harris, in your last run for president you said you wanted to ban fracking. Now you don't. You wanted mandatory government buyback programs for assault weapons. Now your campaign says you don't. You supported decriminalizing border crossings. Now you're taking a harder line. I know you say that your values have not changed. So then why have so many of your policy positions changed?""]",The context does not provide a specific explanation for VP Harris's change on fracking and gun control since her last campaign.,multi_context,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
20,What explains VP Harris's change on fracking and gun control since her last campaign?,"[""DAVID MUIR: Vice President Harris, thank you. Linsey?\n\nLINDSEY DAVIS: Vice President Harris, in your last run for president...\n\nFORMER PRESIDENT DONALD TRUMP: This is the one that weaponized. Not me. She weaponized. I probably took a bullet to the head because of the things that they say about me. They talk about democracy. I'm a threat to democracy. They're the threat to democracy – With the fake Russia Russia Russia investigation that went nowhere.\n\nDAVID MUIR: We have a lot to get to. Linsey?\n\nLINSEY DAVIS: Vice President Harris, in your last run for president you said you wanted to ban fracking. Now you don't. You wanted mandatory government buyback programs for assault weapons. Now your campaign says you don't. You supported decriminalizing border crossings. Now you're taking a harder line. I know you say that your values have not changed. So then why have so many of your policy positions changed?""]",The context does not provide a specific explanation for VP Harris's change on fracking and gun control since her last campaign.,multi_context,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
21,What strategies does VP Harris suggest for economic growth and family support?,"[""VICE PRESIDENT KAMALA HARRIS: So I think you've heard tonight two very different visions for our country. One that is focused on the future and the other that is focused on the past. And an attempt to take us backward. But we're not going back. And I do believe that the American people know we all have so much more in common than what separates us and we can chart a new way forward. And a vision of that includes having a plan, understanding the aspirations, the dreams, the hopes, the ambition of the American people, which is why I intend to create an opportunity economy, investing in small businesses, in new families, in what we can do around protecting seniors, what we can do that is about giving hard-working folks a break in bringing down the cost of living. I believe in what we can do together that is about sustaining America's standing in the world and ensuring we have the respect that we so rightly deserve including respecting our military and ensuring we have the most lethal"", ""VICE PRESIDENT KAMALA HARRIS: I want to respond to that, though. I want to just respond briefly. Clearly, I am not Joe Biden, and I am certainly not Donald Trump. And what I do offer is a new generation of leadership for our country. One who believes in what is possible, one who brings a sense of optimism about what we can do instead of always disparaging the American people. I believe in what we can do to strengthen our small businesses, which is why I have a plan. Let's talk about our plans. And, and let's compare the plans. I have a plan to give startup businesses $50,000 tax deduction, to pursue their ambitions, their innovation, their ideas, their hard work. I have a plan. $6,000 for young families for the first year of your child's life. To help you in that most critical stage of your child's development. I have a plan that is about allowing people to be able to pursue what has been fleeting in terms of the American dream by offering help with down payment of $25,000, down""]","VP Harris suggests several strategies for economic growth and family support, including creating an opportunity economy by investing in small businesses, providing a $50,000 tax deduction for startup businesses, offering $6,000 for young families during the first year of a child's life, and helping with down payments of $25,000 to support the pursuit of the American dream.",multi_context,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}, {'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
22,What's Trump's view on late-term abortion and post-birth decisions?,"[""FORMER PRESIDENT DONALD TRUMP: Well, the reason I'm doing that vote is because the plan is, as you know, the vote is, they have abortion in the ninth month. They even have, and you can look at the governor of West Virginia, the previous governor of West Virginia, not the current governor, who's doing an excellent job, but the governor before. He said the baby will be born and we will decide what to do with the baby. In other words, we'll execute the baby."", ""FORMER PRESIDENT DONALD TRUMP: And that's why I did that, because that predominates. Because they're radical. The Democrats are radical in that. And her vice presidential pick, which I think was a horrible pick, by the way for our country, because he is really out of it. But her vice presidential pick says abortion in the ninth month is absolutely fine. He also says execution after birth, it's execution, no longer abortion, because the baby is born, is okay. And that's not okay with me. Hence the vote. But what I did is something for 52 years they've been trying to get Roe v. Wade into the states.""]","Trump's view on late-term abortion is that he strongly opposes it, particularly the idea of abortion in the ninth month and post-birth decisions, which he refers to as execution. He criticizes the Democrats for being radical on this issue and expresses that he does not agree with the notion of deciding what to do with a baby after it is born.",multi_context,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}, {'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
23,What dual measures does Trump suggest for election credibility and border security?,"[""DAVID MUIR: Are you now acknowledging that you lost in 2020?\n\nFORMER PRESIDENT DONALD TRUMP: No, I don't acknowledge that at all.\n\nDAVID MUIR: But you did say that.\n\nFORMER PRESIDENT DONALD TRUMP: I said that sarcastically. You know that. It was said, oh we lost by a whisker. That was said sarcastically. Look, there's so much proof. All you have to do is look at it. And they should have sent it back to the legislatures for approval. I got almost 75 million votes. The most votes any sitting president has ever gotten. I was told if I got 63, which was what I got in 2016, you can't be beaten. The election, people should never be thinking about an election as fraudulent. We need two things. We need walls. We need -- and we have to have it. We have to have borders. And we have to have good elections.""]","Trump suggests that for election credibility, there should be good elections, and for border security, there should be walls and borders.",multi_context,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
24,"What does Harris's debate with Trump mean for her campaign, given Biden's exit and close polls?","[""DAVID MUIR: Good evening, I'm David Muir. And thank you for joining us for tonight's ABC News Presidential Debate. We want to welcome viewers watching on ABC and around the world tonight. Vice President Kamala Harris and President Donald Trump are just moments away from taking the stage in this unprecedented race for president.\n\nLINSEY DAVIS: And I'm Linsey Davis. Tonight's meeting could be the most consequential event of their campaigns, with Election Day now less than two months away. For Vice President Kamala Harris, this is her first debate since President Biden withdrew from the race on July 21st. Of course, that decision followed his debate against President Donald Trump in June. Since then, this race has taken on an entirely new dynamic."", 'Below is a  transcript of the exchange between Trump and Harris during the debate.\n\nDAVID MUIR: Tonight, the high-stakes showdown here in Philadelphia between Vice President Kamala Harris and former president Donald Trump. Their first face-to-face meeting in this presidential election. Their first face-to-face meeting ever.\n\nLINSEY DAVIS: A historic race for president upended just weeks ago. President Biden withdrawing after his last debate. Donald Trump is now up against a new opponent.\n\nDAVID MUIR: The candidates separated by the smallest of margins. Essentially tied in the polls nationally. And in the key battlegrounds, including right here in Pennsylvania, all still very much in play. The ABC News Presidential Debate starts right now.']","Harris's debate with Trump is significant for her campaign as it marks her first debate since President Biden withdrew from the race, which has changed the dynamics of the election. The candidates are essentially tied in the polls nationally, making this debate a crucial event as they are both vying for the presidency in a highly competitive race.",multi_context,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}, {'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
25,How do Harris's talks with Zelenskyy support U.S. commitment to sovereignty?,"[""VICE PRESIDENT KAMALA HARRIS: Yet again, I said it at the beginning of this debate, you're going to hear a bunch of lies coming from this fella. And that is another one. When I went to meet with President Zelenskyy, I've now met with him over five times. The reality is, it has been about standing as America always should, as a leader upholding international rules and norms. As a leader who shows strength, understanding that the alliances we have around the world are dependent on our ability to look out for our friends and not favor our enemies because you adore strongmen instead of caring about democracy. And that is very much what is at stake here. The President of the United States is commander-in-chief. And the American people have a right to rely on a president who understands the significance of America's role and responsibility in terms of ensuring that there is stability and ensuring we stand up for our principles and not sell them for the benefit of personal flattery."", ""VICE PRESIDENT KAMALA HARRIS: Well, first of all, it's important to remind the former president you're not running against Joe Biden, you're running against me. I believe the reason that Donald Trump says that this war would be over within 24 hours is because he would just give it up. And that's not who we are as Americans. Let's understand what happened here. I actually met with Zelenskyy a few days before Russia invaded, tried through force to change territorial boundaries to defy one of the most important international rules and norms, which is the importance of sovereignty and territorial integrity. And I met with President Zelenskyy. I shared with him American intelligence about how he could defend himself. Days later I went to NATO's eastern flank, to Poland and Romania. And through the work that I and others did we brought 50 countries together to support Ukraine in its righteous defense. And because of our support, because of the air defense, the ammunition, the artillery, the""]","Harris's talks with Zelenskyy support U.S. commitment to sovereignty by emphasizing the importance of sovereignty and territorial integrity, which she highlighted during her meetings with him. She shared American intelligence with Zelenskyy to help him defend Ukraine against Russian aggression, demonstrating the U.S. commitment to upholding international rules and norms regarding sovereignty.",multi_context,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}, {'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
